iter	RMSE
0	14.6915582
1	14.37591768
2	14.05384059
3	13.77034367
4	13.49002112
5	13.22756969
6	12.97229838
7	12.74382473
8	12.52120224
9	12.30802738
10	12.10551012
11	11.91147362
12	11.72858652
13	11.54338746
14	11.38634666
15	11.22641652
16	11.07500615
17	10.92902524
18	10.79964068
19	10.67367303
20	10.54839583
21	10.42399582
22	10.32392493
23	10.21607532
24	10.12267413
25	10.03627104
26	9.944583413
27	9.86846844
28	9.786107133
29	9.712861985
30	9.649306937
31	9.57996373
32	9.520212273
33	9.457599792
34	9.402743988
35	9.348872067
36	9.299644219
37	9.253323736
38	9.207019994
39	9.162799844
40	9.124603041
41	9.085982215
42	9.049614683
43	9.020465002
44	8.987802743
45	8.958123603
46	8.930820643
47	8.903284043
48	8.875156161
49	8.851968358
50	8.829277651
51	8.810293714
52	8.792229579
53	8.773226171
54	8.755817974
55	8.738684161
56	8.722375096
57	8.705499261
58	8.690755955
59	8.678211405
60	8.665637393
61	8.652033619
62	8.640756774
63	8.630109494
64	8.620732893
65	8.61037556
66	8.600704406
67	8.591018073
68	8.58344103
69	8.575649316
70	8.567597937
71	8.558926968
72	8.548798084
73	8.541470032
74	8.534826321
75	8.527406712
76	8.522346987
77	8.516338469
78	8.509428436
79	8.504858806
80	8.497449524
81	8.490829686
82	8.486050728
83	8.480123194
84	8.476583898
85	8.471653781
86	8.46737347
87	8.461669965
88	8.457154263
89	8.452822853
90	8.448584595
91	8.443181796
92	8.440184978
93	8.433946379
94	8.433314768
95	8.430560511
96	8.426860721
97	8.42232118
98	8.418806851
99	8.412892705
100	8.409642668
101	8.406834931
102	8.404371601
103	8.400847141
104	8.398584763
105	8.394727325
106	8.390949843
107	8.389050512
108	8.386776452
109	8.382854775
110	8.381625641
111	8.378888938
112	8.372874726
113	8.369987513
114	8.367777225
115	8.36561847
116	8.363622533
117	8.358786125
118	8.356606935
119	8.355311424
120	8.353979724
121	8.35148492
122	8.34689452
123	8.344278481
124	8.342166765
125	8.339269176
126	8.336278191
127	8.33616627
128	8.334985116
129	8.332716237
130	8.330479945
131	8.326112186
132	8.324105994
133	8.32202508
134	8.319874922
135	8.317444297
136	8.314407586
137	8.312694277
138	8.310679279
139	8.306470063
140	8.304932954
141	8.300688515
142	8.298489162
143	8.294885629
144	8.293718518
145	8.290550907
146	8.287711316
147	8.284383215
148	8.281012691
149	8.278247048
150	8.276219778
151	8.273633757
152	8.271512981
153	8.267958008
154	8.266446141
155	8.265224863
156	8.261704463
157	8.258098137
158	8.2568868
159	8.252787565
160	8.250517897
161	8.246930393
162	8.243629585
163	8.241387134
164	8.238676838
165	8.233001794
166	8.231389893
167	8.229286511
168	8.227036274
169	8.224504004
170	8.222894928
171	8.218862387
172	8.2169279
173	8.213183272
174	8.210738446
175	8.205775411
176	8.20358146
177	8.201394354
178	8.199414421
179	8.197657753
180	8.196068251
181	8.191299025
182	8.189667907
183	8.186967441
184	8.184876352
185	8.180945468
186	8.178831698
187	8.177179862
188	8.172495764
189	8.169122504
190	8.164273288
191	8.162351183
192	8.15908989
193	8.156621253
194	8.150684458
195	8.146588742
196	8.143687163
197	8.140328487
198	8.137171451
199	8.134039947
200	8.132040259
201	8.1282018
202	8.125992319
203	8.121050835
204	8.119730815
205	8.114619056
206	8.109172676
207	8.103280059
208	8.102027408
209	8.098099852
210	8.097089101
211	8.095402768
212	8.094330453
213	8.09047966
214	8.087794157
215	8.086291309
216	8.083481478
217	8.08018856
218	8.0755125
219	8.072439614
220	8.067508056
221	8.064507736
222	8.063494409
223	8.060381198
224	8.059359903
225	8.058173676
226	8.053880718
227	8.052593513
228	8.048788853
229	8.04361354
230	8.040878247
231	8.033165097
232	8.028598045
233	8.027507786
234	8.026286364
235	8.023045247
236	8.019303316
237	8.018036106
238	8.016153527
239	8.011722285
240	8.002993287
241	7.99941506
242	7.998139187
243	7.996620329
244	7.993322697
245	7.98900751
246	7.985223243
247	7.983938337
248	7.97622786
249	7.973293293
250	7.966771219
251	7.965434655
252	7.960590932
253	7.959758094
254	7.956882381
255	7.95234588
256	7.951175251
257	7.948849828
258	7.94667813
259	7.941928865
260	7.937568769
261	7.933782283
262	7.929325642
263	7.928263156
264	7.92511634
265	7.918404624
266	7.912101605
267	7.909662065
268	7.905231732
269	7.898436333
270	7.896234966
271	7.890491733
272	7.886298885
273	7.885085355
274	7.883848413
275	7.879670521
276	7.878514003
277	7.875482211
278	7.871676566
279	7.87073997
280	7.865964811
281	7.861117807
282	7.855253395
283	7.852611014
284	7.850609256
285	7.845364504
286	7.844390814
287	7.843551569
288	7.840546696
289	7.835370139
290	7.83445916
291	7.831763142
292	7.825248034
293	7.822187722
294	7.817708995
295	7.816836851
296	7.812136391
297	7.810541182
298	7.809660277
299	7.806323121
300	7.80555213
301	7.80471304
302	7.80050834
303	7.797145468
304	7.793434438
305	7.79233592
306	7.789309413
307	7.785080169
308	7.779781554
309	7.775869466
310	7.775141448
311	7.772054294
312	7.768018122
313	7.765048183
314	7.764089147
315	7.760604564
316	7.758422853
317	7.757725689
318	7.756945271
319	7.753384743
320	7.751196382
321	7.74573634
322	7.741043773
323	7.737578325
324	7.734897522
325	7.728691934
326	7.727354472
327	7.724606531
328	7.720628071
329	7.719883384
330	7.717151296
331	7.716281902
332	7.713466724
333	7.710091419
334	7.706486063
335	7.703736406
336	7.700539396
337	7.69765456
338	7.696942496
339	7.691722492
340	7.689458927
341	7.685147047
342	7.68338962
343	7.68078556
344	7.677124029
345	7.672720805
346	7.671337602
347	7.669703645
348	7.664850594
349	7.661646775
350	7.660951153
351	7.656403577
352	7.651444738
353	7.648948969
354	7.648168699
355	7.64498103
356	7.641784831
357	7.637336111
358	7.636739441
359	7.635492148
360	7.633272113
361	7.629225455
362	7.624328959
363	7.62078941
364	7.617381686
365	7.61653019
366	7.610798869
367	7.608578418
368	7.606212643
369	7.605615562
370	7.599827773
371	7.596586248
372	7.594764608
373	7.591370644
374	7.587810062
375	7.586729655
376	7.581601712
377	7.577970636
378	7.576495729
379	7.574395841
380	7.570235234
381	7.565959264
382	7.564848492
383	7.561018111
384	7.560280855
385	7.559155231
386	7.555842725
387	7.553808135
388	7.549120908
389	7.547415938
390	7.542644982
391	7.542087736
392	7.539339948
393	7.537442121
394	7.533947032
395	7.530338274
396	7.525622604
397	7.520062755
398	7.516950272
399	7.516013933
400	7.515463788
401	7.512788607
402	7.51175592
