iter	Passed	Remaining
0	59	59799
1	60	30073
2	60	20164
3	61	15217
4	61	12260
5	62	10280
6	62	8854
7	62	7797
8	63	6963
9	63	6295
10	63	5744
11	64	5282
12	64	4909
13	65	4590
14	65	4314
15	66	4061
16	66	3843
17	66	3644
18	67	3465
19	67	3303
20	67	3158
21	68	3026
22	68	2905
23	68	2794
24	69	2691
25	69	2596
26	69	2507
27	69	2426
28	70	2349
29	70	2279
30	70	2212
31	71	2149
32	71	2090
33	71	2035
34	71	1983
35	72	1934
36	72	1887
37	72	1843
38	73	1801
39	73	1761
40	73	1723
41	73	1687
42	74	1653
43	74	1620
44	74	1589
45	75	1559
46	75	1531
47	75	1503
48	76	1477
49	76	1452
50	76	1428
51	77	1404
52	77	1382
53	77	1360
54	77	1339
55	78	1319
56	78	1300
57	78	1281
58	79	1263
59	79	1245
60	79	1228
61	80	1211
62	80	1196
63	80	1180
64	81	1165
65	81	1150
66	81	1136
67	81	1122
68	82	1109
69	82	1096
70	82	1083
71	83	1071
72	83	1059
73	83	1047
74	84	1036
75	84	1027
76	85	1018
77	85	1011
78	85	1001
79	86	991
80	86	981
81	86	972
82	87	963
83	87	954
84	87	945
85	88	937
86	88	928
87	88	919
88	89	911
89	89	903
90	89	895
91	89	887
92	90	880
93	90	872
94	90	863
95	90	855
96	91	848
97	91	841
98	91	834
99	92	828
100	92	821
101	92	815
102	92	808
103	93	802
104	93	796
105	93	790
106	94	784
107	94	778
108	94	773
109	94	768
110	95	763
111	95	758
112	95	753
113	96	748
114	96	743
115	96	738
116	97	733
117	97	728
118	97	723
119	97	718
120	98	713
121	98	709
122	98	705
123	99	700
124	99	696
125	99	692
126	100	688
127	100	683
128	100	678
129	100	674
130	101	670
131	101	667
132	101	663
133	101	659
134	102	654
135	102	651
136	102	647
137	103	643
138	103	640
139	103	636
140	103	633
141	104	629
142	104	626
143	104	623
144	105	619
145	105	616
146	105	613
147	105	610
148	106	607
149	106	604
150	106	600
151	107	597
152	107	594
153	107	591
154	108	589
155	108	586
156	108	583
157	108	580
158	109	577
159	109	574
160	109	571
161	110	569
162	110	566
163	110	564
164	110	561
165	111	559
166	111	556
167	111	554
168	112	551
169	112	549
170	112	546
171	113	544
172	113	541
173	113	539
174	113	537
175	114	534
176	114	532
177	114	530
178	115	527
179	115	525
180	115	523
181	115	520
182	116	518
183	116	516
184	116	514
185	117	512
186	117	510
187	117	508
188	117	505
189	118	504
190	118	502
191	118	499
192	119	498
193	119	496
194	119	494
195	120	492
196	120	490
197	120	488
198	120	486
199	121	484
200	121	482
201	121	480
202	121	478
203	122	477
204	122	475
205	122	473
206	123	471
207	123	469
208	123	468
209	123	466
210	124	464
211	124	462
212	124	461
213	125	459
214	125	457
215	125	456
216	125	454
217	126	452
218	126	451
219	126	450
220	127	448
221	127	446
222	127	445
223	128	443
224	128	442
225	128	440
226	128	439
227	129	437
228	129	436
229	129	434
230	130	433
231	130	431
232	130	430
233	130	428
234	131	427
235	131	425
236	131	424
237	132	423
238	132	421
239	132	420
240	133	419
241	133	417
242	133	416
243	133	414
244	134	413
245	134	412
246	134	410
247	135	409
248	135	408
249	135	406
250	135	405
251	136	404
252	136	402
253	136	401
254	137	400
255	137	399
256	137	397
257	137	396
258	138	395
259	138	394
260	138	393
261	139	392
262	139	390
263	139	389
264	140	388
265	140	387
266	140	386
267	141	385
268	141	384
269	141	383
270	142	382
271	142	381
272	142	379
273	142	378
274	143	377
275	143	376
276	143	375
277	144	374
278	144	373
279	144	372
280	145	371
281	145	370
282	145	369
283	146	368
284	146	367
285	146	366
286	146	364
287	147	363
288	147	362
289	147	361
290	148	360
291	148	359
292	148	358
293	148	357
294	149	356
295	149	355
296	149	354
297	150	353
298	150	352
299	150	351
300	151	350
301	151	349
302	151	348
303	151	347
304	152	346
305	152	345
306	152	344
307	153	343
308	153	342
309	153	341
310	153	340
311	154	339
312	154	338
313	154	338
314	154	337
315	155	336
316	155	335
317	155	334
318	156	333
319	156	332
320	156	331
321	157	330
322	157	330
323	157	329
324	158	328
325	158	327
326	158	326
327	158	325
328	159	324
329	159	323
330	159	322
331	160	322
332	160	321
333	160	320
334	160	319
335	161	318
336	161	317
337	161	316
338	162	316
339	162	315
340	162	314
341	162	313
342	163	312
343	163	311
344	163	311
345	164	310
346	164	309
347	164	308
348	165	307
349	165	307
350	165	306
351	165	305
352	166	304
353	166	303
354	166	302
355	167	302
356	167	301
357	167	300
358	167	299
359	168	298
360	168	298
361	168	297
362	168	296
363	169	295
364	169	294
365	169	294
366	170	293
367	170	292
368	170	291
369	170	291
370	171	290
371	171	289
372	171	288
373	172	288
374	172	287
375	172	286
376	172	285
377	173	285
378	173	284
379	173	283
380	174	283
381	174	282
382	174	281
383	175	280
384	175	280
385	175	279
386	175	278
387	176	278
388	176	277
389	176	276
390	177	275
391	177	275
392	177	274
393	178	273
394	178	273
395	178	272
396	178	271
397	179	271
398	179	270
399	179	269
400	180	269
401	180	268
402	180	267
403	180	266
404	181	266
405	181	265
406	181	265
407	182	264
408	182	263
409	182	263
410	183	262
411	183	261
412	183	260
413	183	260
414	184	259
415	184	258
416	184	258
417	185	257
418	185	257
419	185	256
420	185	255
421	186	255
422	186	254
423	186	253
424	187	253
425	187	252
426	187	251
427	188	251
428	188	250
429	188	250
430	188	249
431	189	248
432	189	248
433	189	247
434	190	246
435	190	246
436	190	245
437	190	244
438	191	244
439	191	243
440	191	243
441	192	242
442	192	241
443	192	241
444	193	240
445	193	240
446	193	239
447	194	239
448	194	238
449	194	238
450	195	237
451	195	236
452	195	236
453	196	235
454	196	235
455	196	234
456	196	233
457	197	233
458	197	232
459	197	232
460	198	231
461	198	230
462	198	230
463	198	229
464	199	229
465	199	228
466	199	227
467	200	227
468	200	226
469	200	226
470	200	225
471	201	225
472	201	224
473	201	224
474	202	223
475	202	222
476	202	222
477	203	221
478	203	221
479	203	220
480	203	220
481	204	219
482	204	218
483	204	218
484	205	217
485	205	217
486	205	216
487	205	216
488	206	215
489	206	214
490	206	214
491	207	213
492	207	213
493	207	212
494	208	212
495	208	211
496	208	211
497	208	210
498	209	210
499	209	209
500	209	209
501	210	208
502	210	208
503	210	207
504	211	207
505	211	206
506	211	205
507	212	205
508	212	204
509	212	204
510	212	203
511	213	203
512	213	202
513	213	202
514	214	201
515	214	201
516	214	200
517	214	200
518	215	199
519	215	198
520	215	198
521	216	197
522	216	197
523	216	196
524	216	196
525	217	195
526	217	195
527	217	194
528	218	194
529	218	193
530	218	193
531	218	192
532	219	192
533	219	191
534	219	191
535	220	190
536	220	190
537	220	189
538	220	188
